Category: All categories

Month,list of countries by gdp: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,40
2004-05,37
2004-06,0
2004-07,39
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,28
2005-02,29
2005-03,49
2005-04,28
2005-05,0
2005-06,0
2005-07,26
2005-08,0
2005-09,22
2005-10,21
2005-11,0
2005-12,0
2006-01,0
2006-02,37
2006-03,33
2006-04,17
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,31
2006-10,0
2006-11,14
2006-12,28
2007-01,0
2007-02,40
2007-03,24
2007-04,0
2007-05,11
2007-06,35
2007-07,11
2007-08,42
2007-09,21
2007-10,19
2007-11,19
2007-12,30
2008-01,26
2008-02,18
2008-03,18
2008-04,17
2008-05,35
2008-06,37
2008-07,62
2008-08,17
2008-09,40
2008-10,37
2008-11,33
2008-12,8
2009-01,30
2009-02,32
2009-03,36
2009-04,51
2009-05,30
2009-06,0
2009-07,22
2009-08,50
2009-09,42
2009-10,60
2009-11,34
2009-12,47
2010-01,45
2010-02,72
2010-03,48
2010-04,50
2010-05,59
2010-06,66
2010-07,29
2010-08,72
2010-09,69
2010-10,73
2010-11,46
2010-12,36
2011-01,56
2011-02,78
2011-03,97
2011-04,73
2011-05,90
2011-06,45
2011-07,87
2011-08,81
2011-09,92
2011-10,55
2011-11,71
2011-12,37
2012-01,70
2012-02,71
2012-03,80
2012-04,81
2012-05,83
2012-06,55
2012-07,53
2012-08,57
2012-09,100
2012-10,45
2012-11,64
2012-12,50
2013-01,66
2013-02,65
2013-03,59
2013-04,65
2013-05,54
2013-06,52
2013-07,37
2013-08,70
2013-09,62
2013-10,54
2013-11,61
2013-12,48
2014-01,48
2014-02,94
2014-03,79
2014-04,84
2014-05,79
2014-06,73
2014-07,63
2014-08,73
2014-09,62
2014-10,64
2014-11,74
2014-12,97
2015-01,70
2015-02,72
2015-03,84
2015-04,84
2015-05,78
2015-06,46
2015-07,67
2015-08,52
2015-09,77
2015-10,58
2015-11,55
2015-12,49
2016-01,49
2016-02,73
2016-03,53
2016-04,70
2016-05,72
2016-06,72
2016-07,42
2016-08,42
2016-09,64
2016-10,48
2016-11,51
2016-12,65
2017-01,51
2017-02,52
2017-03,72
2017-04,68
2017-05,53
2017-06,58
2017-07,76
2017-08,47
2017-09,71
2017-10,43
2017-11,47
2017-12,61
2018-01,65
2018-02,79
2018-03,38
2018-04,65
2018-05,62
2018-06,56
2018-07,71
2018-08,51
2018-09,48
2018-10,54
2018-11,82
2018-12,45
2019-01,57
2019-02,54
2019-03,43
2019-04,52
2019-05,37
2019-06,38
2019-07,28
2019-08,45
2019-09,39
2019-10,50
2019-11,26
2019-12,50
2020-01,47
2020-02,61
2020-03,43
2020-04,52
2020-05,47
2020-06,59
2020-07,54
2020-08,37
2020-09,51
2020-10,35
2020-11,38
2020-12,38
2021-01,32
2021-02,33
2021-03,34
2021-04,29
2021-05,32
2021-06,48
2021-07,32
2021-08,34
2021-09,38
2021-10,28
2021-11,23
2021-12,28
2022-01,41
2022-02,38
2022-03,78
2022-04,30
2022-05,33
