Category: All categories

Month,biggest economies in the world: (United States)
2004-01,0
2004-02,76
2004-03,0
2004-04,73
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,64
2004-12,57
2005-01,100
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,46
2005-08,0
2005-09,0
2005-10,38
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,32
2006-05,30
2006-06,0
2006-07,0
2006-08,28
2006-09,28
2006-10,26
2006-11,0
2006-12,26
2007-01,0
2007-02,0
2007-03,0
2007-04,44
2007-05,20
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,17
2007-11,17
2007-12,0
2008-01,16
2008-02,0
2008-03,32
2008-04,16
2008-05,32
2008-06,17
2008-07,32
2008-08,16
2008-09,0
2008-10,27
2008-11,15
2008-12,15
2009-01,0
2009-02,14
2009-03,13
2009-04,53
2009-05,0
2009-06,14
2009-07,0
2009-08,26
2009-09,51
2009-10,12
2009-11,25
2009-12,0
2010-01,12
2010-02,24
2010-03,46
2010-04,36
2010-05,38
2010-06,0
2010-07,11
2010-08,42
2010-09,10
2010-10,10
2010-11,29
2010-12,10
2011-01,15
2011-02,25
2011-03,37
2011-04,0
2011-05,30
2011-06,39
2011-07,15
2011-08,7
2011-09,21
2011-10,26
2011-11,47
2011-12,19
2012-01,24
2012-02,12
2012-03,12
2012-04,37
2012-05,18
2012-06,0
2012-07,24
2012-08,29
2012-09,23
2012-10,5
2012-11,50
2012-12,11
2013-01,20
2013-02,16
2013-03,34
2013-04,20
2013-05,15
2013-06,5
2013-07,15
2013-08,10
2013-09,5
2013-10,19
2013-11,20
2013-12,0
2014-01,5
2014-02,15
2014-03,5
2014-04,14
2014-05,55
2014-06,39
2014-07,11
2014-08,16
2014-09,21
2014-10,0
2014-11,5
2014-12,10
2015-01,10
2015-02,0
2015-03,30
2015-04,31
2015-05,37
2015-06,50
2015-07,21
2015-08,21
2015-09,15
2015-10,29
2015-11,20
2015-12,15
2016-01,12
2016-02,21
2016-03,12
2016-04,4
2016-05,12
2016-06,64
2016-07,33
2016-08,4
2016-09,23
2016-10,46
2016-11,53
2016-12,22
2017-01,34
2017-02,22
2017-03,59
2017-04,63
2017-05,61
2017-06,31
2017-07,23
2017-08,43
2017-09,67
2017-10,24
2017-11,31
2017-12,31
2018-01,47
2018-02,29
2018-03,50
2018-04,41
2018-05,67
2018-06,75
2018-07,60
2018-08,41
2018-09,25
2018-10,54
2018-11,62
2018-12,28
2019-01,69
2019-02,67
2019-03,27
2019-04,28
2019-05,37
2019-06,46
2019-07,28
2019-08,66
2019-09,39
2019-10,67
2019-11,32
2019-12,28
2020-01,44
2020-02,59
2020-03,65
2020-04,53
2020-05,62
2020-06,55
2020-07,41
2020-08,43
2020-09,31
2020-10,42
2020-11,35
2020-12,55
2021-01,40
2021-02,25
2021-03,56
2021-04,53
2021-05,49
2021-06,44
2021-07,40
2021-08,33
2021-09,60
2021-10,24
2021-11,35
2021-12,31
2022-01,51
2022-02,70
2022-03,93
2022-04,65
2022-05,67
