Category: All categories

Month,highest gdp per capita: (United States)
2004-01,55
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,24
2004-07,0
2004-08,23
2004-09,22
2004-10,22
2004-11,0
2004-12,20
2005-01,0
2005-02,19
2005-03,32
2005-04,37
2005-05,65
2005-06,0
2005-07,33
2005-08,0
2005-09,14
2005-10,0
2005-11,0
2005-12,26
2006-01,0
2006-02,24
2006-03,21
2006-04,0
2006-05,11
2006-06,22
2006-07,22
2006-08,10
2006-09,10
2006-10,0
2006-11,9
2006-12,18
2007-01,40
2007-02,26
2007-03,8
2007-04,0
2007-05,0
2007-06,15
2007-07,14
2007-08,20
2007-09,21
2007-10,18
2007-11,6
2007-12,6
2008-01,39
2008-02,12
2008-03,23
2008-04,22
2008-05,22
2008-06,6
2008-07,17
2008-08,23
2008-09,21
2008-10,33
2008-11,16
2008-12,10
2009-01,34
2009-02,26
2009-03,28
2009-04,42
2009-05,24
2009-06,0
2009-07,10
2009-08,23
2009-09,50
2009-10,34
2009-11,27
2009-12,35
2010-01,49
2010-02,13
2010-03,20
2010-04,42
2010-05,22
2010-06,36
2010-07,8
2010-08,11
2010-09,36
2010-10,28
2010-11,41
2010-12,31
2011-01,27
2011-02,14
2011-03,29
2011-04,33
2011-05,21
2011-06,11
2011-07,24
2011-08,17
2011-09,32
2011-10,35
2011-11,31
2011-12,41
2012-01,21
2012-02,26
2012-03,21
2012-04,26
2012-05,25
2012-06,19
2012-07,21
2012-08,20
2012-09,45
2012-10,32
2012-11,47
2012-12,13
2013-01,37
2013-02,36
2013-03,55
2013-04,46
2013-05,40
2013-06,15
2013-07,18
2013-08,16
2013-09,41
2013-10,43
2013-11,27
2013-12,32
2014-01,29
2014-02,35
2014-03,30
2014-04,45
2014-05,32
2014-06,26
2014-07,17
2014-08,28
2014-09,33
2014-10,34
2014-11,41
2014-12,40
2015-01,35
2015-02,59
2015-03,53
2015-04,34
2015-05,35
2015-06,37
2015-07,30
2015-08,35
2015-09,41
2015-10,46
2015-11,67
2015-12,52
2016-01,41
2016-02,59
2016-03,41
2016-04,43
2016-05,33
2016-06,45
2016-07,22
2016-08,22
2016-09,47
2016-10,51
2016-11,41
2016-12,59
2017-01,43
2017-02,59
2017-03,79
2017-04,70
2017-05,53
2017-06,49
2017-07,28
2017-08,36
2017-09,70
2017-10,53
2017-11,59
2017-12,44
2018-01,63
2018-02,48
2018-03,60
2018-04,66
2018-05,57
2018-06,43
2018-07,34
2018-08,44
2018-09,65
2018-10,79
2018-11,72
2018-12,84
2019-01,75
2019-02,83
2019-03,81
2019-04,65
2019-05,72
2019-06,34
2019-07,36
2019-08,42
2019-09,63
2019-10,73
2019-11,75
2019-12,54
2020-01,75
2020-02,100
2020-03,73
2020-04,71
2020-05,58
2020-06,56
2020-07,49
2020-08,47
2020-09,59
2020-10,73
2020-11,55
2020-12,48
2021-01,29
2021-02,56
2021-03,59
2021-04,61
2021-05,43
2021-06,39
2021-07,33
2021-08,18
2021-09,48
2021-10,61
2021-11,59
2021-12,36
2022-01,48
2022-02,74
2022-03,64
2022-04,66
2022-05,47
