Category: All categories

Month,online jobs: (United States)
2004-01,48
2004-02,44
2004-03,42
2004-04,38
2004-05,46
2004-06,46
2004-07,47
2004-08,47
2004-09,43
2004-10,42
2004-11,38
2004-12,35
2005-01,42
2005-02,40
2005-03,36
2005-04,44
2005-05,41
2005-06,48
2005-07,36
2005-08,41
2005-09,41
2005-10,40
2005-11,34
2005-12,35
2006-01,42
2006-02,34
2006-03,41
2006-04,39
2006-05,45
2006-06,41
2006-07,43
2006-08,47
2006-09,45
2006-10,42
2006-11,38
2006-12,37
2007-01,49
2007-02,42
2007-03,40
2007-04,42
2007-05,47
2007-06,52
2007-07,57
2007-08,53
2007-09,51
2007-10,51
2007-11,51
2007-12,48
2008-01,59
2008-02,54
2008-03,55
2008-04,56
2008-05,59
2008-06,66
2008-07,67
2008-08,66
2008-09,69
2008-10,72
2008-11,69
2008-12,65
2009-01,90
2009-02,79
2009-03,76
2009-04,73
2009-05,83
2009-06,100
2009-07,97
2009-08,94
2009-09,95
2009-10,88
2009-11,87
2009-12,80
2010-01,99
2010-02,89
2010-03,89
2010-04,86
2010-05,94
2010-06,97
2010-07,87
2010-08,81
2010-09,76
2010-10,73
2010-11,72
2010-12,66
2011-01,85
2011-02,78
2011-03,73
2011-04,76
2011-05,82
2011-06,89
2011-07,86
2011-08,89
2011-09,84
2011-10,84
2011-11,71
2011-12,63
2012-01,79
2012-02,71
2012-03,67
2012-04,68
2012-05,81
2012-06,80
2012-07,80
2012-08,80
2012-09,77
2012-10,78
2012-11,66
2012-12,58
2013-01,86
2013-02,66
2013-03,69
2013-04,77
2013-05,81
2013-06,81
2013-07,83
2013-08,86
2013-09,78
2013-10,81
2013-11,67
2013-12,63
2014-01,91
2014-02,70
2014-03,70
2014-04,76
2014-05,79
2014-06,79
2014-07,81
2014-08,74
2014-09,70
2014-10,64
2014-11,60
2014-12,55
2015-01,74
2015-02,62
2015-03,64
2015-04,65
2015-05,69
2015-06,73
2015-07,74
2015-08,75
2015-09,68
2015-10,66
2015-11,60
2015-12,56
2016-01,78
2016-02,67
2016-03,63
2016-04,67
2016-05,75
2016-06,75
2016-07,70
2016-08,69
2016-09,65
2016-10,64
2016-11,59
2016-12,57
2017-01,83
2017-02,69
2017-03,74
2017-04,73
2017-05,81
2017-06,83
2017-07,95
2017-08,87
2017-09,83
2017-10,86
2017-11,74
2017-12,71
2018-01,92
2018-02,76
2018-03,74
2018-04,73
2018-05,81
2018-06,83
2018-07,85
2018-08,84
2018-09,81
2018-10,75
2018-11,69
2018-12,63
2019-01,83
2019-02,70
2019-03,64
2019-04,65
2019-05,73
2019-06,76
2019-07,76
2019-08,76
2019-09,71
2019-10,68
2019-11,61
2019-12,61
2020-01,82
2020-02,69
2020-03,92
2020-04,93
2020-05,90
2020-06,88
2020-07,95
2020-08,89
2020-09,74
2020-10,69
2020-11,63
2020-12,65
2021-01,69
2021-02,61
2021-03,48
2021-04,52
2021-05,59
2021-06,65
2021-07,66
2021-08,69
2021-09,68
2021-10,65
2021-11,66
2021-12,59
2022-01,80
2022-02,62
2022-03,60
2022-04,56
