Category: All categories

Month,job vacancy: (United States)
2004-01,32
2004-02,50
2004-03,64
2004-04,49
2004-05,50
2004-06,48
2004-07,41
2004-08,66
2004-09,43
2004-10,41
2004-11,42
2004-12,28
2005-01,48
2005-02,33
2005-03,44
2005-04,36
2005-05,30
2005-06,35
2005-07,50
2005-08,36
2005-09,32
2005-10,31
2005-11,29
2005-12,27
2006-01,18
2006-02,20
2006-03,27
2006-04,17
2006-05,27
2006-06,26
2006-07,32
2006-08,21
2006-09,21
2006-10,25
2006-11,20
2006-12,21
2007-01,21
2007-02,24
2007-03,29
2007-04,19
2007-05,29
2007-06,25
2007-07,22
2007-08,27
2007-09,23
2007-10,24
2007-11,23
2007-12,28
2008-01,27
2008-02,28
2008-03,20
2008-04,19
2008-05,23
2008-06,24
2008-07,26
2008-08,21
2008-09,23
2008-10,22
2008-11,22
2008-12,19
2009-01,19
2009-02,24
2009-03,17
2009-04,25
2009-05,24
2009-06,20
2009-07,26
2009-08,29
2009-09,19
2009-10,24
2009-11,19
2009-12,19
2010-01,21
2010-02,31
2010-03,26
2010-04,23
2010-05,18
2010-06,26
2010-07,42
2010-08,52
2010-09,35
2010-10,36
2010-11,33
2010-12,32
2011-01,13
2011-02,12
2011-03,15
2011-04,17
2011-05,17
2011-06,21
2011-07,16
2011-08,21
2011-09,20
2011-10,17
2011-11,12
2011-12,13
2012-01,17
2012-02,16
2012-03,18
2012-04,17
2012-05,20
2012-06,18
2012-07,24
2012-08,20
2012-09,20
2012-10,25
2012-11,20
2012-12,21
2013-01,26
2013-02,30
2013-03,21
2013-04,24
2013-05,21
2013-06,18
2013-07,20
2013-08,19
2013-09,12
2013-10,15
2013-11,12
2013-12,12
2014-01,20
2014-02,16
2014-03,18
2014-04,23
2014-05,32
2014-06,61
2014-07,67
2014-08,61
2014-09,61
2014-10,60
2014-11,71
2014-12,68
2015-01,87
2015-02,88
2015-03,87
2015-04,82
2015-05,96
2015-06,100
2015-07,24
2015-08,23
2015-09,20
2015-10,28
2015-11,63
2015-12,68
2016-01,20
2016-02,22
2016-03,23
2016-04,18
2016-05,16
2016-06,17
2016-07,19
2016-08,25
2016-09,23
2016-10,18
2016-11,18
2016-12,22
2017-01,24
2017-02,22
2017-03,21
2017-04,23
2017-05,22
2017-06,19
2017-07,21
2017-08,23
2017-09,19
2017-10,21
2017-11,14
2017-12,11
2018-01,10
2018-02,13
2018-03,13
2018-04,10
2018-05,12
2018-06,9
2018-07,11
2018-08,13
2018-09,10
2018-10,11
2018-11,12
2018-12,9
2019-01,14
2019-02,13
2019-03,10
2019-04,11
2019-05,13
2019-06,10
2019-07,12
2019-08,12
2019-09,12
2019-10,13
2019-11,13
2019-12,13
2020-01,19
2020-02,17
2020-03,15
2020-04,11
2020-05,13
2020-06,13
2020-07,16
2020-08,12
2020-09,11
2020-10,13
2020-11,11
2020-12,12
2021-01,13
2021-02,15
2021-03,15
2021-04,13
2021-05,14
2021-06,17
2021-07,18
2021-08,16
2021-09,16
2021-10,19
2021-11,14
2021-12,15
2022-01,14
2022-02,14
2022-03,16
2022-04,14
2022-05,0
