Category: All categories

Month,money illusion: (United States)
2004-01,0
2004-02,20
2004-03,100
2004-04,0
2004-05,17
2004-06,0
2004-07,0
2004-08,16
2004-09,0
2004-10,32
2004-11,33
2004-12,0
2005-01,13
2005-02,14
2005-03,0
2005-04,13
2005-05,0
2005-06,37
2005-07,24
2005-08,23
2005-09,10
2005-10,0
2005-11,60
2005-12,10
2006-01,0
2006-02,9
2006-03,0
2006-04,16
2006-05,0
2006-06,0
2006-07,8
2006-08,7
2006-09,7
2006-10,27
2006-11,20
2006-12,7
2007-01,0
2007-02,12
2007-03,22
2007-04,17
2007-05,16
2007-06,6
2007-07,16
2007-08,5
2007-09,15
2007-10,9
2007-11,22
2007-12,5
2008-01,16
2008-02,21
2008-03,4
2008-04,24
2008-05,8
2008-06,9
2008-07,17
2008-08,12
2008-09,11
2008-10,28
2008-11,15
2008-12,11
2009-01,14
2009-02,30
2009-03,20
2009-04,34
2009-05,21
2009-06,21
2009-07,24
2009-08,24
2009-09,20
2009-10,19
2009-11,32
2009-12,54
2010-01,18
2010-02,25
2010-03,23
2010-04,30
2010-05,41
2010-06,22
2010-07,16
2010-08,31
2010-09,30
2010-10,42
2010-11,24
2010-12,19
2011-01,19
2011-02,31
2011-03,50
2011-04,25
2011-05,26
2011-06,15
2011-07,21
2011-08,33
2011-09,23
2011-10,26
2011-11,50
2011-12,31
2012-01,38
2012-02,44
2012-03,28
2012-04,29
2012-05,26
2012-06,32
2012-07,19
2012-08,16
2012-09,35
2012-10,24
2012-11,26
2012-12,27
2013-01,32
2013-02,29
2013-03,33
2013-04,41
2013-05,32
2013-06,25
2013-07,28
2013-08,28
2013-09,32
2013-10,27
2013-11,32
2013-12,26
2014-01,30
2014-02,22
2014-03,16
2014-04,28
2014-05,21
2014-06,18
2014-07,34
2014-08,20
2014-09,24
2014-10,28
2014-11,21
2014-12,30
2015-01,19
2015-02,25
2015-03,20
2015-04,22
2015-05,18
2015-06,22
2015-07,15
2015-08,12
2015-09,22
2015-10,29
2015-11,29
2015-12,22
2016-01,21
2016-02,27
2016-03,26
2016-04,34
2016-05,28
2016-06,19
2016-07,19
2016-08,20
2016-09,17
2016-10,26
2016-11,32
2016-12,19
2017-01,18
2017-02,20
2017-03,25
2017-04,16
2017-05,16
2017-06,16
2017-07,14
2017-08,7
2017-09,14
2017-10,15
2017-11,21
2017-12,20
2018-01,9
2018-02,29
2018-03,20
2018-04,23
2018-05,15
2018-06,20
2018-07,6
2018-08,12
2018-09,11
2018-10,20
2018-11,13
2018-12,13
2019-01,14
2019-02,16
2019-03,23
2019-04,18
2019-05,20
2019-06,7
2019-07,16
2019-08,16
2019-09,32
2019-10,17
2019-11,28
2019-12,15
2020-01,14
2020-02,20
2020-03,23
2020-04,23
2020-05,19
2020-06,11
2020-07,13
2020-08,12
2020-09,15
2020-10,20
2020-11,11
2020-12,24
2021-01,14
2021-02,16
2021-03,25
2021-04,18
2021-05,13
2021-06,16
2021-07,10
2021-08,16
2021-09,17
2021-10,42
2021-11,19
2021-12,13
2022-01,14
2022-02,20
2022-03,13
2022-04,17
2022-05,14
