Category: All categories

Month,demand pull inflation: (United States)
2004-01,23
2004-02,23
2004-03,0
2004-04,0
2004-05,40
2004-06,41
2004-07,0
2004-08,0
2004-09,0
2004-10,19
2004-11,19
2004-12,0
2005-01,0
2005-02,16
2005-03,0
2005-04,62
2005-05,28
2005-06,0
2005-07,14
2005-08,13
2005-09,12
2005-10,34
2005-11,0
2005-12,0
2006-01,10
2006-02,20
2006-03,9
2006-04,48
2006-05,0
2006-06,19
2006-07,9
2006-08,0
2006-09,17
2006-10,8
2006-11,38
2006-12,39
2007-01,0
2007-02,22
2007-03,26
2007-04,33
2007-05,6
2007-06,13
2007-07,0
2007-08,6
2007-09,17
2007-10,31
2007-11,36
2007-12,21
2008-01,5
2008-02,24
2008-03,29
2008-04,33
2008-05,47
2008-06,10
2008-07,5
2008-08,5
2008-09,17
2008-10,36
2008-11,53
2008-12,13
2009-01,16
2009-02,30
2009-03,35
2009-04,40
2009-05,36
2009-06,24
2009-07,20
2009-08,16
2009-09,19
2009-10,40
2009-11,56
2009-12,40
2010-01,21
2010-02,36
2010-03,52
2010-04,54
2010-05,35
2010-06,25
2010-07,6
2010-08,9
2010-09,9
2010-10,28
2010-11,27
2010-12,49
2011-01,15
2011-02,25
2011-03,38
2011-04,65
2011-05,19
2011-06,20
2011-07,19
2011-08,10
2011-09,8
2011-10,50
2011-11,61
2011-12,40
2012-01,22
2012-02,33
2012-03,53
2012-04,54
2012-05,50
2012-06,21
2012-07,15
2012-08,6
2012-09,29
2012-10,50
2012-11,58
2012-12,42
2013-01,31
2013-02,42
2013-03,40
2013-04,70
2013-05,57
2013-06,19
2013-07,10
2013-08,14
2013-09,26
2013-10,50
2013-11,80
2013-12,86
2014-01,35
2014-02,42
2014-03,61
2014-04,83
2014-05,73
2014-06,24
2014-07,26
2014-08,15
2014-09,23
2014-10,69
2014-11,62
2014-12,57
2015-01,21
2015-02,33
2015-03,71
2015-04,100
2015-05,64
2015-06,19
2015-07,21
2015-08,6
2015-09,19
2015-10,69
2015-11,81
2015-12,79
2016-01,30
2016-02,37
2016-03,61
2016-04,91
2016-05,71
2016-06,18
2016-07,12
2016-08,12
2016-09,17
2016-10,59
2016-11,74
2016-12,44
2017-01,30
2017-02,40
2017-03,65
2017-04,86
2017-05,94
2017-06,25
2017-07,15
2017-08,8
2017-09,23
2017-10,63
2017-11,71
2017-12,67
2018-01,32
2018-02,51
2018-03,49
2018-04,94
2018-05,87
2018-06,38
2018-07,17
2018-08,8
2018-09,34
2018-10,72
2018-11,62
2018-12,75
2019-01,36
2019-02,61
2019-03,74
2019-04,86
2019-05,80
2019-06,25
2019-07,14
2019-08,10
2019-09,25
2019-10,67
2019-11,63
2019-12,45
2020-01,29
2020-02,48
2020-03,47
2020-04,67
2020-05,35
2020-06,20
2020-07,22
2020-08,8
2020-09,30
2020-10,58
2020-11,51
2020-12,50
2021-01,28
2021-02,24
2021-03,59
2021-04,71
2021-05,48
2021-06,16
2021-07,8
2021-08,11
2021-09,18
2021-10,34
2021-11,54
2021-12,43
2022-01,19
2022-02,36
2022-03,53
2022-04,43
2022-05,46
