Category: All categories

Month,effects of inflation: (United States)
2004-01,32
2004-02,47
2004-03,100
2004-04,15
2004-05,70
2004-06,0
2004-07,0
2004-08,0
2004-09,38
2004-10,52
2004-11,53
2004-12,24
2005-01,10
2005-02,33
2005-03,9
2005-04,32
2005-05,10
2005-06,0
2005-07,10
2005-08,9
2005-09,8
2005-10,39
2005-11,40
2005-12,53
2006-01,14
2006-02,21
2006-03,19
2006-04,46
2006-05,19
2006-06,13
2006-07,19
2006-08,18
2006-09,29
2006-10,16
2006-11,32
2006-12,21
2007-01,14
2007-02,45
2007-03,22
2007-04,36
2007-05,17
2007-06,9
2007-07,25
2007-08,0
2007-09,32
2007-10,29
2007-11,29
2007-12,41
2008-01,33
2008-02,40
2008-03,43
2008-04,36
2008-05,29
2008-06,28
2008-07,17
2008-08,16
2008-09,33
2008-10,45
2008-11,49
2008-12,18
2009-01,23
2009-02,21
2009-03,49
2009-04,47
2009-05,25
2009-06,31
2009-07,11
2009-08,14
2009-09,21
2009-10,45
2009-11,36
2009-12,33
2010-01,22
2010-02,25
2010-03,37
2010-04,37
2010-05,28
2010-06,18
2010-07,16
2010-08,19
2010-09,14
2010-10,22
2010-11,46
2010-12,28
2011-01,25
2011-02,32
2011-03,36
2011-04,45
2011-05,36
2011-06,25
2011-07,17
2011-08,14
2011-09,17
2011-10,34
2011-11,22
2011-12,27
2012-01,19
2012-02,27
2012-03,18
2012-04,45
2012-05,42
2012-06,20
2012-07,14
2012-08,10
2012-09,31
2012-10,23
2012-11,42
2012-12,22
2013-01,23
2013-02,35
2013-03,40
2013-04,45
2013-05,37
2013-06,22
2013-07,12
2013-08,9
2013-09,17
2013-10,29
2013-11,52
2013-12,42
2014-01,28
2014-02,19
2014-03,36
2014-04,57
2014-05,34
2014-06,20
2014-07,12
2014-08,11
2014-09,23
2014-10,32
2014-11,50
2014-12,34
2015-01,29
2015-02,43
2015-03,57
2015-04,61
2015-05,45
2015-06,16
2015-07,15
2015-08,14
2015-09,26
2015-10,37
2015-11,44
2015-12,40
2016-01,31
2016-02,35
2016-03,37
2016-04,57
2016-05,43
2016-06,21
2016-07,14
2016-08,12
2016-09,22
2016-10,33
2016-11,57
2016-12,46
2017-01,23
2017-02,38
2017-03,44
2017-04,76
2017-05,54
2017-06,19
2017-07,20
2017-08,10
2017-09,21
2017-10,45
2017-11,58
2017-12,33
2018-01,25
2018-02,43
2018-03,33
2018-04,61
2018-05,41
2018-06,18
2018-07,21
2018-08,8
2018-09,23
2018-10,42
2018-11,60
2018-12,53
2019-01,26
2019-02,45
2019-03,44
2019-04,67
2019-05,45
2019-06,21
2019-07,20
2019-08,16
2019-09,25
2019-10,44
2019-11,39
2019-12,26
2020-01,27
2020-02,34
2020-03,44
2020-04,75
2020-05,47
2020-06,24
2020-07,25
2020-08,14
2020-09,23
2020-10,48
2020-11,54
2020-12,44
2021-01,20
2021-02,32
2021-03,51
2021-04,72
2021-05,51
2021-06,24
2021-07,27
2021-08,18
2021-09,30
2021-10,46
2021-11,64
2021-12,55
2022-01,36
2022-02,47
2022-03,49
2022-04,54
2022-05,63
